Lane Type;Ground Type
paved;Asphalt.rndGround
paved major;Asphalt.rndGround
paved entry;Asphalt.rndGround
paved exit;Asphalt.rndGround
paved express;Asphalt.rndGround
paved roundabout;Asphalt.rndGround
sidewalk;Concrete.rndGround
emergency;Asphalt.rndGround
parking;Asphalt.rndGround
zebra;Asphalt.rndGround
median;Asphalt.rndGround
shoulder;Cobblestone.rndGround
hard shoulder;Asphalt.rndGround
embankment;Concrete.rndGround
ditch;Grass.rndGround
barrier;Concrete.rndGround
land;Grass.rndGround
runway;Asphalt.rndGround
taxiway;Asphalt.rndGround
curb;Concrete.rndGround
unknown;Grass.rndGround
