name;file
orange_white_cone;3DObjects\localized\FR\city_bench2.ive
Generic;3DObjects\localized\FR\$1.ive
test;3DObjects\localized\FR\city_bench2.ive
Arrow_left;3DObjects/signal/FR/directional_arrow_left.ive
Arrow_right;3DObjects/signal/FR/directional_arrow_right.ive
Arrow_straight;3DObjects/signal/FR/directional_arrow_straight.ive
Arrow_straight_left;3DObjects/signal/FR/bidirectional_arrow_left_straight.ive
Arrow_straight_right;3DObjects/signal/FR/bidirectional_arrow_right_straight.ive
Arrow_right_left;no
Bike_crossing;no
Bus_lane;3DObjects/signal/FR/bus_arrow_markings.ive
Bike_lane;no
Road_deformation_joint;no
Lateral_barrier;no
Concrete_barrier;no
Guardrail;no
Fence;no
Radar;no
deformableSurface;no
Road_deformation_cracks;no
Road_deformation_gravel_pile;3DObjects/road_deformation/gravel_pile.ive
Road_deformation_sewer_plate;3DObjects/road_deformation/sewer_plate.ive
