Time (sec);X Position (m);Y Position (m);Z Position (m);Roll Position (rad);Pitch Position (rad);Yaw Position (rad)
0.0000000000;0.0001207015;-0.0001495055;0.0000516910;0.0010994848;-0.0001298318;-0.0011868362
0.0100000000;0.0002411497;-0.0002988669;0.0000977220;0.0021747146;-0.0002178280;-0.0023752825
0.0200000000;0.0003612933;-0.0004480550;0.0001369873;0.0032147606;-0.0002561408;-0.0035657344
0.0300000000;0.0004811313;-0.0005970692;0.0001695293;0.0042122442;-0.0002430065;-0.0047584028
0.0400000000;0.0006006632;-0.0007459092;0.0001954158;0.0051594023;-0.0001741268;-0.0059536040
0.0500000000;0.0007198883;-0.0008945748;0.0002147448;0.0060489121;-0.0000458741;-0.0071514232
0.0600000000;0.0008388061;-0.0010430656;0.0002276384;0.0068747003;0.0001419912;-0.0083515424
0.0700000000;0.0009574163;-0.0011913814;0.0002342341;0.0076324751;0.0003865779;-0.0095534393
0.0800000000;0.0010757186;-0.0013395221;0.0002346854;0.0083206861;0.0006838337;-0.0107565631
0.0900000000;0.0011937126;-0.0014874873;0.0002291697;0.0089404038;0.0010304349;-0.0119603156
0.1000000000;0.0013113984;-0.0016352771;0.0002178980;0.0094944332;0.0014233161;-0.0131640501
0.1100000000;0.0014287757;-0.0017828914;0.0002011173;0.0099868805;0.0018577054;-0.0143673010
0.1200000000;0.0015458446;-0.0019303299;0.0001791018;0.0104235899;0.0023280656;-0.0155699885
0.1300000000;0.0016626051;-0.0020775928;0.0001521359;0.0108123114;0.0028329919;-0.0167722588
0.1400000000;0.0017790572;-0.0022246802;0.0001205031;0.0111602003;0.0033786766;-0.0179743257
0.1500000000;0.0018952010;-0.0023715924;0.0000844928;0.0114704526;0.0039754978;-0.0191765781
0.1600000000;0.0020110362;-0.0025183295;0.0000444085;0.0117426203;0.0046312046;-0.0203795369
0.1700000000;0.0021265627;-0.0026648921;0.0000005642;0.0119767106;0.0053487658;-0.0215834816
0.1800000000;0.0022417799;-0.0028112805;-0.0000467258;0.0121768795;0.0061282061;-0.0227881731
0.1900000000;0.0023566874;-0.0029574951;-0.0000971477;0.0123501931;0.0069669463;-0.0239929994
0.2000000000;0.0024712848;-0.0031035364;-0.0001503840;0.0125003916;0.0078605190;-0.0251973285
0.2100000000;0.0025855718;-0.0032494046;-0.0002061118;0.0126238573;0.0088057393;-0.0264007725
0.2200000000;0.0026995481;-0.0033951003;-0.0002640046;0.0127120529;0.0098024745;-0.0276032814
0.2300000000;0.0028132136;-0.0035406238;-0.0003237301;0.0127558414;0.0108526478;-0.0288050985
0.2400000000;0.0029265684;-0.0036859755;-0.0003849443;0.0127484004;0.0119581035;-0.0300066797
0.2500000000;0.0030396126;-0.0038311562;-0.0004472900;0.0126878344;0.0131181947;-0.0312085660
0.2600000000;0.0031523464;-0.0039761663;-0.0005104003;0.0125785629;0.0143277775;-0.0324113174
