scenario,rainLevel,distanceToCollision,Braking distance,Collision,result
ADAS_AEB_EVAL_ADAS_CTRL 38,0.000000,13.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 49,-1.000000,17.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 29,0.000000,10.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 58,-1.000000,20.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 21,1.000000,7.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 44,0.000000,15.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 11,0.000000,4.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 3,1.000000,1.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 13,-1.000000,5.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 57,1.000000,19.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 5,0.000000,2.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 4,-1.000000,2.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 51,1.000000,17.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 42,1.000000,14.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 54,1.000000,18.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 14,0.000000,5.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 33,1.000000,11.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 43,-1.000000,15.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 48,1.000000,16.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 46,-1.000000,16.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 40,-1.000000,14.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 18,1.000000,6.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 60,1.000000,20.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 9,1.000000,3.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 36,1.000000,12.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 19,-1.000000,7.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 55,-1.000000,19.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 32,0.000000,11.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 27,1.000000,9.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 15,1.000000,5.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 12,1.000000,4.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 16,-1.000000,6.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 23,0.000000,8.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 45,1.000000,15.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 52,-1.000000,18.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 59,0.000000,20.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 56,0.000000,19.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 8,0.000000,3.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 28,-1.000000,10.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 6,1.000000,2.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 20,0.000000,7.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 34,-1.000000,12.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 31,-1.000000,11.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 7,-1.000000,3.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 22,-1.000000,8.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 53,0.000000,18.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 50,0.000000,17.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 35,0.000000,12.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 25,-1.000000,9.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 1,-1.000000,1.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 39,1.000000,13.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 26,0.000000,9.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 24,1.000000,8.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 47,0.000000,16.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 30,1.000000,10.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 17,0.000000,6.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 41,0.000000,14.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 37,-1.000000,13.000000,1,1,1
ADAS_AEB_EVAL_ADAS_CTRL 2,0.000000,1.000000,0,0,0
ADAS_AEB_EVAL_ADAS_CTRL 10,-1.000000,4.000000,0,0,0
