Time,EGO_GPSdirection,EGO_latGPS,EGO_longGPS,EGO_longSpeed,EGO_longAccel,EGO_latAccel,EGO_SwAngle,EGO_SwRotSpeed,OBJECT_0001_Unique_ID,OBJECT_0001_Length,OBJECT_0001_Width,OBJECT_0001_Height,OBJECT_0001_LongPos,OBJECT_0001_LatPos,OBJECT_0001_LongVel,OBJECT_0001_LatVel,OBJECT_0001_LongAccel,OBJECT_0001_ObstacleClass
0,-65,48.8733959935,2.29649789076,0.0188637580723,0,0,0.00220834999345,0.0441917777061,45,4.326,1.773,1.494,5,0,0,0,0,1
0.05,-65,48.8733959935,2.29649789076,0.0188637580723,0,0,0.00220834999345,0.0441917777061,45,4.326,1.773,1.494,5,0,0,0,0,1
0.1,-65,48.8733959935,2.29649789076,0.0188637580723,0,0,0.00220834999345,0.0441917777061,45,4.326,1.773,1.494,5,0,0,0,0,1
0.15,-65,48.8733959935,2.29649789076,0.0188637580723,0,0,0.00220834999345,0.0441917777061,45,4.326,1.773,1.494,5,0,0,0,0,1
0.2,-65,48.8733959962,2.29649788235,0.0188637580723,0.377977907658,4.64470844008e-008,0.00441236281767,0.0441623702645,45,4.326,1.773,1.494,5,0,0,0,0,1
0.25,-65,48.8733960026,2.29649786206,0.0460757948458,0.527547359467,4.20038475113e-007,0.00668825116009,0.0441216118634,45,4.326,1.773,1.494,5,0,0,0,4.64470844008e-008,1
0.3,-65,48.8733960127,2.29649783057,0.0778889134526,0.661284387112,1.58096031555e-006,0.00880924705416,0.0440881364048,45,4.326,1.773,1.494,5,0,0,0,4.20038475113e-007,1
0.35,-65,48.8733960283,2.29649778152,0.118258744478,0.810859680176,4.55085137219e-006,0.0110000642017,0.0440042763948,45,4.326,1.773,1.494,5,0,0,0,1.58096031555e-006,1
0.4,-65,48.8733960502,2.29649771311,0.165716022253,0.952116787434,1.07108471639e-005,0.0131845064461,0.0438256114721,45,4.326,1.773,1.494,5,0,0,0,4.55085137219e-006,1
0.45,-65,48.8733960791,2.29649762253,0.22019597888,1.09234941006,2.20254005399e-005,0.0153558561578,0.0435366071761,45,4.326,1.773,1.494,5,0,0,0,1.07108471639e-005,1
0.5,-65,48.8733961169,2.29649750412,0.283123970032,1.23719775677,4.16258299083e-005,0.0175540987402,0.0432186163962,45,4.326,1.773,1.494,5,0,0,0,2.20254005399e-005,1
0.55,-65,48.8733961628,2.29649736031,0.351410001516,1.36874818802,7.1817470598e-005,0.0196594186127,0.0421997196972,45,4.326,1.773,1.494,5,0,0,0,4.16258299083e-005,1
0.6,-65,48.8733962184,2.29649718609,0.426611304283,1.50772428513,0.00011705065117,0.0217409152538,0.0417323224247,45,4.326,1.773,1.494,5,0,0,0,7.1817470598e-005,1
0.65,-65,48.8733962849,2.29649697782,0.509061634541,1.64765274525,0.000182402087376,0.0237934663892,0.0410173274577,45,4.326,1.773,1.494,5,0,0,0,0.00011705065117,1
0.7,-65,48.8733963631,2.29649673286,0.598586142063,1.78635513783,0.000273457728326,0.0257991552353,0.0400211252272,45,4.326,1.773,1.494,5,0,0,0,0.000182402087376,1
0.75,-65,48.8733964519,2.29649645448,0.685768187046,1.74978363514,0.000385802006349,0.0277318116277,0.038789305836,45,4.326,1.773,1.494,5,0,0,0,0.000273457728326,1
0.8,-65,48.8733965519,2.29649614127,0.771837472916,1.72540998459,0.00052102340851,0.0295647252351,0.0367439687252,45,4.326,1.773,1.494,5,0,0,0,0.000385802006349,1
0.85,-65,48.8733966628,2.29649579368,0.857030332088,1.70684111118,0.000681281089783,0.0313546620309,0.0358614176512,45,4.326,1.773,1.494,5,0,0,0,0.00052102340851,1
0.9,-65,48.8733967843,2.29649541297,0.941314160824,1.69186604023,0.000866755377501,0.0330670513213,0.0343735292554,45,4.326,1.773,1.494,5,0,0,0,0.000681281089783,1
0.95,-65,48.873396917,2.29649499675,1.02551352978,1.68315029144,0.00107979832683,0.0347078628838,0.0327999889851,45,4.326,1.773,1.494,5,0,0,0,0.000866755377501,1
1,-65,48.8733970628,2.2964945398,1.11077260971,1.68066859245,0.00132449925877,0.0362885221839,0.031158670783,45,4.326,1.773,1.494,5,0,0,0,0.00107979832683,1
1.05,-65,48.8733972169,2.29649405647,1.19399237633,1.66637945175,0.00159115623683,0.0377291925251,0.0288478005677,45,4.326,1.773,1.494,5,0,0,0,0.00132449925877,1
1.1,-65,48.8733973809,2.29649354238,1.27603137493,1.64998459816,0.00188211922068,0.0390743836761,0.0270547121763,45,4.326,1.773,1.494,5,0,0,0,0.00159115623683,1
1.15,-65,48.8733975559,2.29649299319,1.35837626457,1.64998245239,0.0022014095448,0.0403300002217,0.02515938133,45,4.326,1.773,1.494,5,0,0,0,0.00188211922068,1
